Actual,Predicted
19.0,10.085374986704682
3.0,10.29424587446103
23.0,12.355642473276948
5.0,12.998004114207124
2.0,8.565710222300385
6.0,2.6458360310162057
2.0,2.6984073277081
22.0,9.453379785593842
9.0,9.552827035960053
2.0,3.88781276899228
1.0,2.8682548161114205
1.0,2.9265739079082955
4.0,8.40398708539853
1.0,2.8682548161114205
1.0,10.013758813914155
3.0,9.665228998240327
12.0,7.967081224497651
0.0,6.4769279118145455
23.0,17.35337558942685
8.0,7.123247301157807
8.0,8.293109094675874
21.0,10.10751548963437
0.0,3.117321168955659
3.0,4.310401117380952
14.0,7.397614633616303
23.0,6.263851320322846
6.0,7.09675995069394
7.0,8.063706552561616
23.0,8.192183649119233
18.0,10.009529268320893
4.0,8.40398708539853
7.0,4.621143495615815
2.0,2.9265739079082955
5.0,6.114926492747163
6.0,4.676159059580659
1.0,5.083870088633393
2.0,8.40398708539853
2.0,11.306416666087006
9.0,9.08810630994687
3.0,5.168567812022065
23.0,12.155508195933198
4.0,6.1203557606304635
19.0,16.440786516245698
0.0,5.159437334116792
2.0,4.118012582835053
2.0,8.09127727704892
5.0,8.208691751536225
5.0,6.252162134226655
3.0,7.126505052622651
3.0,10.928110277232026
19.0,10.628773843821381
8.0,8.80773178296933
4.0,6.005371248301362
10.0,3.292614137705659
18.0,11.861044084605073
2.0,11.863280450877046
23.0,7.241913950022553
1.0,13.143110429819917
7.0,9.261698877390717
0.0,6.549708520945405
2.0,11.328334009226655
5.0,12.760542070444917
6.0,10.514195596751069
8.0,6.8945962544048776
2.0,10.147430574473237
0.0,5.087968027170991
1.0,5.9169255848492135
8.0,9.200279390391206
23.0,15.591358339365815
1.0,6.42116180616269
5.0,11.724854623850678
5.0,13.272862588938569
10.0,13.252509271677827
9.0,3.8015319462383736
5.0,10.422035371836518
2.0,6.662014162119721
4.0,7.931982194956635
1.0,5.995986139353608
0.0,5.390102541025971
5.0,6.757949983652924
3.0,2.8682548161114205
23.0,12.20320240217099
9.0,11.04558864789853
6.0,11.24169746595273
4.0,5.980539476450776
2.0,2.8682548161114205
4.0,9.637587701853608
3.0,9.231161272105073
4.0,6.83533302503476
3.0,5.09571186262021
5.0,8.885790025767182
10.0,10.923436319407319
15.0,10.641881143626069
4.0,2.8682548161114205
7.0,6.389198457774018
2.0,2.8682548161114205
7.0,9.772242700632905
9.0,10.624566232737397
23.0,15.345380937632417
5.0,6.6979619618023385
0.0,9.437916910227631
4.0,2.9265739079082955
11.0,9.074806367930268
14.0,9.98166099744687
7.0,6.199850236948823
1.0,8.40398708539853
5.0,11.932563936289643
2.0,2.8682548161114205
23.0,11.971507227000092
6.0,6.499369775828217
5.0,5.8345939274395455
23.0,12.404836809214448
6.0,4.607229387339448
3.0,6.55664936262021
11.0,17.572967683848237
7.0,12.299940263804292
5.0,4.837020074900483
8.0,10.737460290964936
14.0,5.147648965891694
0.0,1.8910028095806588
23.0,17.3166934605206
4.0,8.40398708539853
5.0,5.226577913340424
9.0,5.397331392344331
3.0,7.077800905283784
18.0,10.971326982554292
19.0,7.238887941416596
12.0,3.9199229832256783
16.0,11.002359544810151
1.0,11.04558864789853
5.0,9.251954233225678
7.0,12.512413179453706
5.0,4.844328081187104
6.0,9.171345865305756
2.0,5.151989137705659
4.0,3.871749078806733
0.0,7.457797205027436
5.0,4.230338251170014
10.0,5.991458093699311
6.0,5.74134174543271
23.0,15.12769428449521
23.0,16.534805452402924
10.0,7.805309450205659
19.0,8.72481456952939
3.0,3.707325136240815
8.0,6.118788873728608
6.0,4.449819719370698
3.0,4.7915641422832955
3.0,7.8978826160992135
2.0,4.688766634043549
2.0,6.935931360300874
4.0,10.18203941541562
23.0,8.196259653147553
7.0,6.449052011545991
2.0,3.5970546360577096
14.0,5.197074091013764
20.0,7.603339349802827
2.0,4.944603120859956
2.0,2.8682548161114205
3.0,2.8682548161114205
2.0,8.18935028272519
15.0,8.097512399729585
22.0,10.037384187754487
12.0,6.316641008433198
15.0,7.689420854624604
4.0,6.347365533884858
7.0,5.504735147532319
8.0,9.426524316843842
7.0,14.043236887034272
0.0,7.444507753428315
12.0,9.422381555613374
20.0,13.771597063120698
1.0,7.2804385777081
4.0,9.515191232737397
0.0,6.309461748179292
6.0,7.876453554209565
9.0,10.785391008433198
13.0,8.747112428721284
6.0,10.448892747935151
10.0,13.732143556650971
10.0,5.392503892954682
5.0,11.647237932261323
1.0,8.40398708539853
5.0,10.432471429880952
5.0,7.240166818674897
7.0,4.434692537363862
4.0,8.40398708539853
6.0,7.3027993794048776
4.0,2.8682548161114205
11.0,13.191012537058686
3.0,10.400134241160249
23.0,10.097244417246674
15.0,17.20269886213193
4.0,2.8682548161114205
14.0,12.543749963816499
6.0,10.222939645823335
10.0,8.446883356150483
23.0,10.72545925336728
2.0,6.435036813792085
23.0,10.218013917979096
8.0,9.422782098826264
2.0,3.2561523075664986
5.0,7.5626651402081
22.0,9.93311134534726
9.0,6.023722803171967
9.0,9.712935602244233
5.0,8.538640176829194
23.0,6.56635395246396
1.0,5.539594804819917
1.0,5.307383691843842
12.0,11.328334009226655
4.0,6.3237201328838815
15.0,9.27019802289853
1.0,8.40398708539853
3.0,5.145157014902924
21.0,9.86776939588437
11.0,10.954260026987885
15.0,4.921523248728608
4.0,12.39887062269101
4.0,4.791555559214448
5.0,8.820344125803803
5.0,5.9566995258892526
7.0,14.407042657908296
4.0,5.144411241587495
3.0,5.851955568369721
4.0,5.432815706309174
2.0,9.228093301829194
3.0,5.211447870310639
8.0,5.838484918650483
8.0,13.277456438120698
12.0,6.699159776743745
23.0,14.348685419138764
23.0,11.267955934580659
